lastUpdateId,bids,asks
1695829625,"['0.03221400', '98.16500000']","['0.03221700', '4.48000000']"
1695829625,"['0.03221200', '16.00000000']","['0.03221800', '12.08300000']"
1695829625,"['0.03221100', '13.00000000']","['0.03221900', '2.69300000']"
1695829625,"['0.03221000', '4.63100000']","['0.03222000', '22.41200000']"
1695829625,"['0.03220900', '16.44000000']","['0.03222100', '18.21700000']"
1695829625,"['0.03220800', '40.10000000']","['0.03222200', '40.00000000']"
1695829625,"['0.03220700', '16.08800000']","['0.03222300', '0.09600000']"
1695829625,"['0.03220600', '4.00000000']","['0.03222400', '2.75600000']"
1695829625,"['0.03220500', '10.18700000']","['0.03222600', '5.83200000']"
1695829625,"['0.03220400', '0.03200000']","['0.03222700', '2.88000000']"
1695829625,"['0.03220300', '23.13800000']","['0.03222800', '13.20900000']"
1695829625,"['0.03220200', '40.03900000']","['0.03222900', '27.37400000']"
1695829625,"['0.03220100', '26.00500000']","['0.03223000', '6.61000000']"
1695829625,"['0.03220000', '16.57200000']","['0.03223100', '26.07900000']"
1695829625,"['0.03219900', '22.04200000']","['0.03223200', '53.54900000']"
1695829625,"['0.03219800', '21.81800000']","['0.03223300', '15.58800000']"
1695829625,"['0.03219700', '5.29900000']","['0.03223400', '21.55900000']"
1695829625,"['0.03219500', '10.84100000']","['0.03223500', '38.60000000']"
1695829625,"['0.03219400', '34.82000000']","['0.03223800', '45.51200000']"
1695829625,"['0.03219300', '17.84700000']","['0.03223900', '7.57100000']"
1695829625,"['0.03219200', '58.08100000']","['0.03224100', '14.34600000']"
1695829625,"['0.03219100', '1.00000000']","['0.03224200', '49.57500000']"
1695829625,"['0.03219000', '8.08400000']","['0.03224800', '73.25000000']"
1695829625,"['0.03218900', '0.02300000']","['0.03224900', '3.69300000']"
1695829625,"['0.03218800', '40.62700000']","['0.03225000', '57.35500000']"
1695829625,"['0.03218600', '3.10400000']","['0.03225100', '1.00000000']"
1695829625,"['0.03218500', '6.90200000']","['0.03225200', '15.16400000']"
1695829625,"['0.03218400', '0.03000000']","['0.03225300', '76.75300000']"
1695829625,"['0.03218300', '72.86200000']","['0.03225400', '6.46000000']"
1695829625,"['0.03218200', '47.40400000']","['0.03225800', '53.72700000']"
1695829625,"['0.03218100', '11.73100000']","['0.03225900', '8.12500000']"
1695829625,"['0.03218000', '5.89400000']","['0.03226100', '90.78000000']"
1695829625,"['0.03217900', '0.01100000']","['0.03226200', '40.00000000']"
1695829625,"['0.03217800', '40.04500000']","['0.03226300', '0.39000000']"
1695829625,"['0.03217700', '0.10000000']","['0.03226600', '102.41700000']"
1695829625,"['0.03217500', '0.01900000']","['0.03226700', '47.00000000']"
1695829625,"['0.03217400', '0.06900000']","['0.03226800', '72.01800000']"
1695829625,"['0.03217300', '72.62000000']","['0.03227000', '200.00000000']"
1695829625,"['0.03217200', '40.00000000']","['0.03227400', '48.53000000']"
1695829625,"['0.03217100', '3.06500000']","['0.03227600', '5.94900000']"
1695829625,"['0.03217000', '3.69400000']","['0.03227700', '40.51100000']"
1695829625,"['0.03216900', '0.07500000']","['0.03227800', '40.00000000']"
1695829625,"['0.03216800', '40.00900000']","['0.03227900', '113.71000000']"
1695829625,"['0.03216700', '0.01200000']","['0.03228200', '136.00000000']"
1695829625,"['0.03216600', '0.32400000']","['0.03228300', '2.88000000']"
1695829625,"['0.03216500', '0.07300000']","['0.03228400', '30.00000000']"
1695829625,"['0.03216300', '66.42600000']","['0.03228500', '9.82500000']"
1695829625,"['0.03216200', '40.16900000']","['0.03228600', '0.00600000']"
1695829625,"['0.03216100', '1.02100000']","['0.03228700', '1.00000000']"
1695829625,"['0.03216000', '0.70800000']","['0.03228800', '100.00000000']"
1695829625,"['0.03215900', '0.12500000']","['0.03229100', '1.00000000']"
1695829625,"['0.03215800', '40.18300000']","['0.03229200', '40.04000000']"
1695829625,"['0.03215600', '0.00900000']","['0.03229300', '104.56500000']"
1695829625,"['0.03215500', '0.08100000']","['0.03229700', '0.04500000']"
1695829625,"['0.03215400', '113.77000000']","['0.03229800', '60.00600000']"
1695829625,"['0.03215300', '60.21000000']","['0.03230000', '34.10100000']"
1695829625,"['0.03215200', '40.00000000']","['0.03230100', '1.00800000']"
1695829625,"['0.03215100', '4.24500000']","['0.03230200', '40.00000000']"
1695829625,"['0.03215000', '1.02000000']","['0.03230400', '0.02300000']"
1695829625,"['0.03214900', '0.34300000']","['0.03230500', '0.00700000']"
1695829625,"['0.03214800', '40.02500000']","['0.03230800', '60.00000000']"
1695829625,"['0.03214700', '35.00000000']","['0.03230900', '6.79100000']"
1695829625,"['0.03214600', '2.04000000']","['0.03231000', '40.00600000']"
1695829625,"['0.03214500', '0.02100000']","['0.03231200', '0.00900000']"
1695829625,"['0.03214300', '60.01100000']","['0.03231400', '0.15100000']"
1695829625,"['0.03214200', '11.78000000']","['0.03231500', '0.00800000']"
1695829625,"['0.03214100', '1.14500000']","['0.03231800', '0.00800000']"
1695829625,"['0.03214000', '204.61400000']","['0.03232000', '0.00800000']"
1695829625,"['0.03213800', '40.07600000']","['0.03232100', '144.04000000']"
1695829625,"['0.03213700', '30.24600000']","['0.03232200', '41.07500000']"
1695829625,"['0.03213600', '0.39800000']","['0.03232600', '0.00600000']"
1695829625,"['0.03213500', '0.72000000']","['0.03232700', '30.00000000']"
1695829625,"['0.03213400', '18.88900000']","['0.03232800', '60.30000000']"
1695829625,"['0.03213300', '110.38600000']","['0.03233000', '40.00700000']"
1695829625,"['0.03213200', '40.00000000']","['0.03233100', '0.02300000']"
1695829625,"['0.03213100', '71.12000000']","['0.03233200', '41.28400000']"
1695829625,"['0.03213000', '0.07000000']","['0.03233400', '82.68000000']"
1695829625,"['0.03212900', '0.08300000']","['0.03233500', '0.01300000']"
1695829625,"['0.03212800', '40.64400000']","['0.03233600', '0.04600000']"
1695829625,"['0.03212700', '4.67200000']","['0.03233800', '60.00000000']"
1695829625,"['0.03212600', '0.75400000']","['0.03234000', '40.00800000']"
1695829625,"['0.03212500', '3.35200000']","['0.03234200', '41.00000000']"
1695829625,"['0.03212400', '0.20700000']","['0.03234500', '4.80000000']"
1695829625,"['0.03212300', '60.73900000']","['0.03234600', '0.01400000']"
1695829625,"['0.03212200', '204.75800000']","['0.03234700', '0.02100000']"
1695829625,"['0.03212100', '3.69400000']","['0.03234800', '44.75200000']"
1695829625,"['0.03212000', '0.70000000']","['0.03234900', '2.88000000']"
1695829625,"['0.03211900', '0.29700000']","['0.03235000', '41.39400000']"
1695829625,"['0.03211800', '40.02900000']","['0.03235100', '0.01300000']"
1695829625,"['0.03211700', '0.01200000']","['0.03235200', '41.00000000']"
1695829625,"['0.03211600', '46.47200000']","['0.03235300', '0.04000000']"
1695829625,"['0.03211400', '0.39100000']","['0.03235400', '0.00700000']"
1695829625,"['0.03211300', '60.36300000']","['0.03235500', '0.15700000']"
1695829625,"['0.03211200', '40.02200000']","['0.03235800', '76.50000000']"
1695829625,"['0.03211100', '1.14800000']","['0.03235900', '0.01400000']"
1695829625,"['0.03210900', '0.12600000']","['0.03236000', '40.00000000']"
1695829625,"['0.03210800', '40.43700000']","['0.03236200', '41.00000000']"
1695829625,"['0.03210700', '0.12700000']","['0.03236400', '0.00400000']"
1695829625,"['0.03210600', '1.02500000']","['0.03236500', '0.00600000']"
1695829625,"['0.03210500', '16.53200000']","['0.03236600', '1.85000000']"
